cohort_month,tenure_months,survivors
2025-03,0,23.0
2025-03,1,16.0
2025-03,2,13.0
2025-03,3,11.0
2025-03,4,10.0
2025-03,5,7.0
2025-03,6,4.0
2025-03,7,5.0
2025-03,8,6.0
2025-03,9,5.0
2025-03,10,2.0
2025-03,11,3.0
2025-03,12,3.0
2025-03,13,3.0
2025-03,14,5.0
2025-03,15,3.0
2025-03,16,3.0
2025-03,17,3.0
2025-04,0,79.0
2025-04,1,64.0
2025-04,2,46.0
2025-04,3,33.0
2025-04,4,25.0
2025-04,5,24.0
2025-04,6,20.0
2025-04,7,17.0
2025-04,8,16.0
2025-04,9,14.0
2025-04,10,12.0
2025-04,11,12.0
2025-04,12,11.0
2025-04,13,10.0
2025-04,14,12.0
2025-04,15,10.0
2025-04,16,9.0
2025-05,0,168.0
2025-05,1,118.0
2025-05,2,100.0
2025-05,3,78.0
2025-05,4,64.0
2025-05,5,54.0
2025-05,6,40.0
2025-05,7,39.0
2025-05,8,36.0
2025-05,9,32.0
2025-05,10,26.0
2025-05,11,27.0
2025-05,12,25.0
2025-05,13,22.0
2025-05,14,23.0
2025-05,15,22.0
2025-06,0,169.0
2025-06,1,110.0
2025-06,2,86.0
2025-06,3,65.0
2025-06,4,54.0
2025-06,5,49.0
2025-06,6,38.0
2025-06,7,33.0
2025-06,8,31.0
2025-06,9,28.0
2025-06,10,26.0
2025-06,11,27.0
2025-06,12,20.0
2025-06,13,15.0
2025-06,14,22.0
2025-07,0,249.0
2025-07,1,195.0
2025-07,2,130.0
2025-07,3,115.0
2025-07,4,94.0
2025-07,5,72.0
2025-07,6,75.0
2025-07,7,65.0
2025-07,8,54.0
2025-07,9,58.0
2025-07,10,51.0
2025-07,11,50.0
2025-07,12,42.0
2025-07,13,40.0
2025-08,0,485.0
2025-08,1,341.0
2025-08,2,269.0
2025-08,3,220.0
2025-08,4,179.0
2025-08,5,154.0
2025-08,6,147.0
2025-08,7,124.0
2025-08,8,119.0
2025-08,9,109.0
2025-08,10,101.0
2025-08,11,90.0
2025-08,12,80.0
2025-09,0,446.0
2025-09,1,341.0
2025-09,2,279.0
2025-09,3,201.0
2025-09,4,180.0
2025-09,5,147.0
2025-09,6,135.0
2025-09,7,107.0
2025-09,8,105.0
2025-09,9,90.0
2025-09,10,79.0
2025-09,11,72.0
2025-10,0,543.0
2025-10,1,423.0
2025-10,2,314.0
2025-10,3,262.0
2025-10,4,214.0
2025-10,5,201.0
2025-10,6,156.0
2025-10,7,138.0
2025-10,8,131.0
2025-10,9,122.0
2025-10,10,113.0
2025-11,0,852.0
2025-11,1,655.0
2025-11,2,560.0
2025-11,3,421.0
2025-11,4,364.0
2025-11,5,315.0
2025-11,6,271.0
2025-11,7,224.0
2025-11,8,206.0
2025-11,9,197.0
2025-12,0,1356.0
2025-12,1,952.0
2025-12,2,706.0
2025-12,3,601.0
2025-12,4,484.0
2025-12,5,403.0
2025-12,6,316.0
2025-12,7,280.0
2025-12,8,264.0
2026-01,0,1503.0
2026-01,1,1014.0
2026-01,2,776.0
2026-01,3,610.0
2026-01,4,508.0
2026-01,5,418.0
2026-01,6,371.0
2026-01,7,355.0
2026-02,0,1388.0
2026-02,1,987.0
2026-02,2,766.0
2026-02,3,628.0
2026-02,4,494.0
2026-02,5,429.0
2026-02,6,384.0
2026-03,0,1614.0
2026-03,1,1069.0
2026-03,2,862.0
2026-03,3,650.0
2026-03,4,549.0
2026-03,5,475.0
2026-04,0,1747.0
2026-04,1,1201.0
2026-04,2,932.0
2026-04,3,747.0
2026-04,4,616.0
2026-05,0,1817.0
2026-05,1,1258.0
2026-05,2,940.0
2026-05,3,763.0
2026-06,0,1561.0
2026-06,1,1066.0
2026-06,2,818.0
2026-07,0,1276.0
2026-07,1,856.0
2026-08,0,1079.0
