cohort_month,tenure_cycles,survivors
2025-03,0,15
2025-03,1,16
2025-03,2,12
2025-03,3,11
2025-03,4,9
2025-03,5,3
2025-04,0,35
2025-04,1,24
2025-04,2,15
2025-04,3,13
2025-04,4,11
2025-04,5,0
2025-05,0,65
2025-05,1,47
2025-05,2,33
2025-05,3,22
2025-05,4,20
2025-05,5,16
2025-06,0,91
2025-06,1,60
2025-06,2,42
2025-06,3,31
2025-06,4,19
2025-07,0,96
2025-07,1,72
2025-07,2,50
2025-07,3,37
2025-07,4,33
2025-08,0,165
2025-08,1,122
2025-08,2,86
2025-08,3,52
2025-08,4,43
2025-09,0,171
2025-09,1,136
2025-09,2,90
2025-09,3,58
2025-10,0,211
2025-10,1,164
2025-10,2,98
2025-10,3,74
2025-11,0,338
2025-11,1,242
2025-11,2,140
2025-11,3,91
2025-12,0,570
2025-12,1,366
2025-12,2,185
2026-01,0,739
2026-01,1,447
2026-01,2,240
2026-02,0,925
2026-02,1,521
2026-02,2,339
2026-03,0,1418
2026-03,1,769
2026-04,0,1532
2026-04,1,851
2026-05,0,1431
2026-05,1,775
2026-06,0,1651
2026-07,0,3009
2026-08,0,4117
