cell,month,old_value,new_value,note
Cash Flow!row17,2026-08,£41.84,42.64,"Forecast, confidence=HIGH"
Cash Flow!row17,2026-09,£43.76,45.26,"Forecast, confidence=HIGH"
Cash Flow!row17,2026-10,£47.65,50.01,"Forecast, confidence=HIGH"
Cash Flow!row17,2026-11,£49.50,54.68,"Forecast, confidence=HIGH"
Cash Flow!row17,2026-12,£51.50,44.16,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-01,£54.10,47.83,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-02,£54.20,51.27,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-03,£56.20,43.00,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-04,£57.10,45.78,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-05,£58.10,48.29,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-06,£58.40,42.06,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-07,£59.70,44.14,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-08,£60.10,45.96,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-09,£60.20,41.37,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-10,£61.20,42.92,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-11,£61.20,44.24,"Forecast, confidence=HIGH"
Cash Flow!row17,2027-12,£61.80,40.89,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-01,£62.20,42.04,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-02,£61.80,43.00,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-03,£62.60,40.56,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-04,£61.70,41.42,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-05,£61.90,42.13,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-06,£61.40,40.35,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-07,£62.30,40.98,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-08,£62.30,41.51,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-09,£61.90,40.20,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-10,£62.50,40.68,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-11,£62.20,41.08,"Forecast, confidence=HIGH"
Cash Flow!row17,2028-12,£62.50,40.12,"Forecast, confidence=HIGH"
Cash Flow!row17,2029-01,£62.70,40.48,"Forecast, confidence=HIGH"
Cash Flow!row17,2029-02,£61.70,40.78,"Forecast, confidence=HIGH"
Cash Flow!row17,2029-03,£60.70,40.06,"Forecast, confidence=HIGH"
