tenure_months,survival_fraction
0,1.0
1,0.7044861834107153
2,0.537192606154654
3,0.4305690734216651
4,0.3571602524896859
5,0.30379300906481577
6,0.2633930701203751
7,0.23183682485897314
8,0.20656553634250904
9,0.1859111773630447
10,0.16874201532072572
11,0.1542643633261495
12,0.1419058974031561
13,0.13124399736849562
14,0.12196012054005757
15,0.11380983466547093
16,0.10660259700580295
17,0.10018778251407259
18,0.09444482515687444
19,0.08927613013952117
20,0.08460189196645804
21,0.08035624803830671
22,0.07648438406969488
23,0.07294032833956592
24,0.06968525147474126
25,0.0666861420324798
26,0.06391476475642026
27,0.06134683378534374
28,0.05896135097444168
29,0.05674007223804438
30,0.054667074024014176
31,0.052728398745743296
32,0.05091176295101393
33,0.04920631569640993
34,0.047602437369395116
35,0.046091571303082064
36,0.04466608213623317
37,0.043319136109301
38,0.04204459944807179
39,0.040836951737032945
40,0.03969121177473921
41,0.038602873870347124
42,0.037567852912026314
43,0.036582436835263
44,0.03564324535823708
45,0.03474719404482228
46,0.03389146291285286
47,0.03307346893351455
48,0.03229084187281918
